ticker,cik,filing_date,accession,doc,tokens,substantive_full15,boilerplate_full15,tls_full15
AYI,1144215,2020-10-23,0001144215-20-000125,ayi-20200831x10k.htm,53756,0.0,0.558077237889724,-0.558077237889724
AZO,866787,2020-10-26,0001558370-20-011748,azo-20200829x10k.htm,48811,0.5121796316404089,0.4097437053123271,0.1024359263280817
AZTA,933974,2020-11-18,0001558370-20-013971,brks-20200930x10k.htm,67747,0.0,0.4428240364887006,-0.4428240364887006
AZZ,8947,2020-04-29,0000008947-20-000045,azz2020022910-k.htm,36800,0.5434782608695652,1.358695652173913,-0.8152173913043478
BA,12927,2020-01-31,0000012927-20-000014,a201912dec3110k.htm,63790,0.0,0.1567643831321523,-0.1567643831321523
BAH,1443646,2020-05-26,0001443646-20-000086,bah-20200331x10k.htm,78567,0.3818397036923899,1.4637188641541612,-1.0818791604617717
BALL,9389,2020-02-19,0001558370-20-001005,bll-20191231x10k1a847a.htm,69567,0.3593657912515992,1.365590006756077,-1.0062242155044778
BANC,1169770,2020-03-02,0001169770-20-000007,banc-12312019x10k.htm,99527,0.401900991690697,0.5526138635747083,-0.1507128718840113
BANF,760498,2020-02-28,0001564590-20-007763,banf-10k_20191231.htm,58535,0.0,0.7687708208763988,-0.7687708208763988
BANR,946673,2020-02-21,0000946673-20-000004,banr-12312019x10k.htm,97946,0.102097073897862,1.123067812876483,-1.020970738978621
BAX,10456,2020-03-17,0001628280-20-003693,bax-20191231.htm,95487,0.0,1.8327102118613008,-1.8327102118613008
BB,1070235,2020-04-07,0001070235-20-000025,bbry-20200229.htm,68781,4.252627905962402,1.0904174117852312,3.1622104941771707
BBIO,1743881,2020-03-03,0001564590-20-008260,bbio-10k_20191231.htm,126386,0.0,1.1472789707720792,-1.1472789707720792
BBSI,902791,2020-03-03,0001564590-20-008249,bbsi-10k_20191231.htm,30081,0.3324357567900003,0.997307270370001,-0.6648715135800006
BBWI,701985,2020-03-30,0000701985-20-000010,lb21202010k.htm,65804,0.0,0.3799161145219135,-0.3799161145219135
BBY,764478,2020-03-23,0000764478-20-000017,bby-20200201x10k.htm,47249,1.4286016635272705,2.857203327054541,-1.4286016635272705
BC,14930,2020-03-20,0000014930-20-000045,bc2019123110-ka.htm,4431,0.0,0.0,0.0
BCC,1328581,2020-02-24,0001328581-20-000024,bcc1231201910-k.htm,57803,0.0,0.9515077072124284,-0.9515077072124284
BCPC,9326,2020-02-21,0001628280-20-001968,bcpc-20191231.htm,38021,0.0,0.2630125456984298,-0.2630125456984298
BCRX,882796,2020-03-13,0001171843-20-001710,f10k_031320p.htm,68126,0.5871473446261339,0.0,0.5871473446261339
BDC,913142,2020-02-11,0000913142-20-000008,bdc-12312019x10k.htm,54131,0.0,0.8313166207903049,-0.8313166207903049
BDX,10795,2020-11-25,0000010795-20-000055,bdx-20200930.htm,60743,0.246942034473108,0.493884068946216,-0.246942034473108
BE,1664703,2020-03-31,0001664703-20-000013,a2019q410kbloom.htm,131561,57.69186917095492,0.9121244137700382,56.77974475718488
BEAM,1745999,2020-03-30,0001564590-20-014308,beam-10k_20191231.htm,131121,0.1525308684344994,0.6863889079552474,-0.533858039520748
BELFA,729580,2020-03-25,0001437749-20-006060,belfb20191231_10k.htm,44501,0.2247140513696321,0.7864991797937125,-0.5617851284240803
BEN,38777,2020-11-23,0000038777-20-000203,form10-k93020.htm,66631,2.02608395491588,0.6003211718269275,1.4257627830889528
BFAM,1437578,2020-02-27,0001437578-20-000006,bfam-123119x10xk.htm,51461,0.0,0.0,0.0
BFC,1746109,2020-03-11,0001104659-20-031995,tv537755-10k.htm,102026,0.0,1.0291494324975987,-1.0291494324975987
BFH,1101215,2020-02-28,0001101215-20-000049,ads-20191231x10k.htm,84930,0.1766160367361356,1.8839043918521137,-1.707288355115978
BFS,907254,2020-02-27,0000907254-20-000015,bfs-12312019x10k.htm,52380,0.0,0.4772814051164566,-0.4772814051164566
BGC,1094831,2020-02-28,0001564590-20-007843,bgcp-10k_20191231.htm,147804,0.1014857514005033,1.7252577738085573,-1.623772022408054
BHC,885590,2020-02-19,0000885590-20-000006,bhc2019form10-k.htm,134618,0.0742842710484482,1.077121930202499,-1.0028376591540509
BHE,863436,2020-03-02,0000863436-20-000009,bhe-20191231.htm,43711,0.3431630482029695,2.630916702889433,-2.287753654686463
BHF,1685040,2020-02-26,0001685040-20-000007,brighthouse-12312019x1.htm,126508,10.868877857526796,0.7509406519745787,10.117937205552218
BIIB,875045,2020-02-06,0000875045-20-000005,biib-20191231x10k.htm,106300,0.141110065851364,0.8936970837253058,-0.7525870178739417
BILL,1786352,2020-08-31,0001564590-20-041865,bill-10k_20200630.htm,63405,0.2365744026496333,1.4983045501143442,-1.261730147464711
BIO,12208,2020-03-02,0000012208-20-000012,a10k123119.htm,49183,0.0,0.4066445723115711,-0.4066445723115711
BJ,1531152,2020-03-19,0001531152-20-000014,bj-20200201x10k.htm,51004,0.7842522155125088,0.7842522155125088,0.0
BKD,1332349,2020-04-29,0001193125-20-126314,d924963d10ka.htm,30282,0.0,0.0,0.0
BKE,885245,2020-04-01,0000885245-20-000011,bke20200201-10k.htm,25716,0.0,0.0,0.0
BKH,1130464,2020-02-14,0001130464-20-000006,bkh10k122019.htm,76723,49.91984150776169,0.4561865411936446,49.46365496656804
BKNG,1075531,2020-02-26,0001075531-20-000011,bkng1231201910k.htm,71808,0.0,0.5570409982174688,-0.5570409982174688
BKR,1701605,2020-02-13,0001701605-20-000019,fiscalyear2019form10-k.htm,65371,2.753514555383886,2.830001070811216,-0.0764865154273301
BKU,1504008,2020-02-28,0001504008-20-000008,document-20191231.htm,72169,0.0,0.0,0.0
BL,1666134,2020-02-27,0001564590-20-007371,bl-10k_20191231.htm,57987,0.3880180040353873,1.638298239260524,-1.2502802352251368
BLBD,1589526,2020-12-17,0001589526-20-000112,a10-k2020100320.htm,49822,0.903215446991289,1.00357271887921,-0.100357271887921
BLD,1633931,2020-02-25,0001558370-20-001326,bld-20191231x10ka9e256.htm,41697,0.4796508142072571,0.2398254071036285,0.2398254071036285
